user,assistant
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","A feeling of emptiness can cause depleting emotions to emerge. It would be important to identify the sources of emptiness.You may want to try to tap into more regenerating emotions. For example, you might want to think about what brings you joy or situations in which you experienced gratitude. Practicing mindful breathing can also help you take your attention away from distressing feelings."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","A feeling of emptiness can be from a lack of awareness and acknowledgment for the things, the people, the places that you have in your life. The use of affirmation and gratitudes helps to remind ourselves of all of the aspects of our lives."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?","Your question is very broad because feeling empty can develop for many different reasons.You're certainly not alone in feeling this way!Try to follow the logic of your feelings by asking yourself questions about the empty feeling. Doing this may open up a discovery about the reason for the emptiness feeling.When do you feel empty, are there certain situations it happens more often than another, what helps the feeling go away, what or who is helpful in relieving the empty feeling.Sometimes people need a little help to get started in understanding how to recognize their feelings.Consider a therapist, any disciplined practice which encourages self-knowledge, such as some yoga practices, and a creative discipline like photography or music. As long as you concentrate on increasing your self-understanding, eventually you'll find the answer to your question!"
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously?","Oh dear.From what you write, your husband doesn't have any interest to know about you and your sad feelings.Stay clear in understanding that you already did your part by asking him to listen and care about the way you feel.In this example, he told you he doesn't care.Its up to him to open his mind and heart to you.Depending on how motivated to continue asking him to hear you, try until you feel satisfied that you've given him enough chances to know who you are. At a certain number of tries at this, you'll either have success or not.Just don't try forever because doing so will increase your depressed feelings."
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously?","Are you seeing a therapist? Do you take your depression seriously? The seriousness of this is gauged by how he feels about it. People typically feed off our energy. You feel you are depressed and if you want to take massive action towards your healing, doing what is best for you regardless of others reactions to it will be key! He may not have any first-hand experience with depression or how to handle it. He could not know how he can help. Regardless your mental health is key and seeking the support you need to move forward in a progressive way is essential. Get the support you need and embrace he may or may not come around as you seek the support you need and deserve."
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously?","I'm sorry to hear that's how he's responding, that doesn't sound very helpful or validating of your emotions or respectful of your boundary to to communicate differently with you about your feelings and mental health. Ask if he's willing to read a book on communication with you Gottman's ""7 Principles for Making Marriage Work"" is excellent!, or attend couples' therapy together so that you can work on building your emotional connection and have healthier communication. It's also possible that he's not willing to change his mind. Regardless of where he stands, you can always take steps yourself towards bettering your mental health and wellbeing - going to therapy, discussing medication with your doctor or psychiatrist also have them do bloodwork to check your thyroid functioning, hormone levels, and complete metabolic panel to check for any vitamin deficiencies, moving your body in ways that feel good, spend time with friends doing something enjoyable or meaningful."
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously?",What he hears and what you say or think he hears maybe the issue. You could be on different wave lengths. He might see how you act when not understanding emotional support. There are ways to communicate differently to get a different reaction. How is it worded. There are energy medicine techniques to test what type you are and what he is. How to connect through energy work.
"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously?","We cannot control how our partners will react when we ask for support. It is important to focus on what you can control, which is you. It is important to know what kind of support you need and lead with that. For example, ""I don't need you to try and fix this, but I need you to listen while I tell you what I have been feeling. When I am done, a hug would be nice."" or ""I am feeling stuck and whenever I think about this issue I just get so sad, can you help find a solution."" If we can tell our partner what we expect upfront, then it is more likely that you will feel supported. It is very empowering to know what we want and to ask for it! It may be hard to be direct because we want our partner just to know what we need, but that is not realistic. There are a few thinking errors in this conversation. Working with me you will learn all about thinking errors and how to replace them."
Every winter I find myself getting sad because of the weather. How can I fight this?,"Thank you for sharing. It seems like since the ""winter blues"" happens to you every year it may also be impacting your quality of life and possibly relationships. What you report sounds like you may be experiencing Seasonal Affective Disorder SAD and is quite common to many from about fall thru winter seasons but, also can impact folks during the Spring and summer months.The best care and treatment for SAD includes discussing it with your PCP primary care physician, integrating light therapy full-spectrum lighting throughout home and workplace where possible, psychotherapy, and possibly medications e.g. Wellbutrin XL, Aplenzin.Be sure to exercise good self-care and checkout the Mayo Clinic's website for SAD here"
Every winter I find myself getting sad because of the weather. How can I fight this?,Light therapy is very helpful. You are not alone. The name for the condition is Seasonal Affective Disorder SAD. You might want to see a therapist to assist you putting in place a behavioral program to help change the way you feel.
Every winter I find myself getting sad because of the weather. How can I fight this?,"I can understand the winter blues can truly be a hurdle in your life. I wanted to share these two videos that could be beneficial in your search to combat your winter sadness. The REAL irritation behind Winter IllnessHow to feel held, holiday warm, at home, nurtured, in a winter wonderland!"
Every winter I find myself getting sad because of the weather. How can I fight this?,Seasonal depression may be something you are experiencing. The great thing is that every fight can be won with a plan. You can create a game plan for what do to or where to be during this season. I would connect with someone to create that plan. Implement it when the winter season comes again and see if you have the same results as last year without having a plan.
Every winter I find myself getting sad because of the weather. How can I fight this?,"This is actually pretty common. When winter hits, we tend to find ourselves huddled inside from the cold. Not to mention the sun is out for a much shorter time. It will be helpful to get as much sunlight as possible. Get outside when you can. Open up the blinds and drapes. Use a sunlight if you want to amazon has some for reasonable prices. Stay connected to friends and family. Try to engage in activities that make you feel positive, productive, and connected."
Every winter I find myself getting sad because of the weather. How can I fight this?,"Sometimes its quite literally the lack of sunshine that can affect our mood - in these cases it can be worth experimenting with a sun lamp, to boost your dose of vitamin D, when the sun isn't naturally out. Also consider, what is it that the change in weather, changes in your life? If for example, when its sunny you are an outdoorsy, active person and when the weather changes, you're whole activity level changes along with it, you could explore how to get some of that activity replicated indoors in the winter months."
Every winter I find myself getting sad because of the weather. How can I fight this?,"Change your total daily routine, different route, different lunch, different afternoon. Sit outside for 10 minutes three times every day, use a therapy light during the day, aroma-therapy oils for stimulation, but....keep your routine bedtimes and wake up times......and exercise at least 3 times per week, if after several weeks you are not feeling better....talk with your doctor."
Every winter I find myself getting sad because of the weather. How can I fight this?,"Seasonal depression can be difficult due to the weather being a primary trigger. Understanding that we have very little control over the weather, therefore we can focus on the things we can change. Exercising, meditation, guided imagery, and deep breathing can be beneficial to combat seasonal depression. It may help to join a support group and seek out therapy to assist you on this healing journey."
I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family. What can I do?,Did this begin around the time you suffered the loss of your loved one? You have my deepest condolences. Perhaps the grief around that is what is the root of your being unhappy.
I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly. I can't get over the loss of a loved one and I'm not close to my family. What can I do?,"Trust and believe your own feelings.Emotions are real and reflect how someone feels about a situation.Since you're sad about losing a loved one, be patient w your feelings about this. Basically, be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones."
"I feel like I'm so alone. I treat people horribly based on what's going on in my life and don't realize it. It ends up pushing them away, especially the ones I love the most. I have a weird feeling deep down inside, and it won't go away. I feel like I'm collapsing.","Give yourself a little more credit for self-observation!You wrote about treating people horribly and not realizing it. Only if you truly didn't realize what you were doing, then you wouldn't be able to write about it.A little self-examination goes a long way.You have some basic clues about yourself, such as pushing people away whom you love.Start with reflecting on the reasons for your behavior, especially any fears about a negative result from opening your heart to another person.The weird feeling you have is also an area to self-reflect and theorize about. From what you write, you have a solid awareness of your feelings. This is the place to start understanding more about your hesitation in relationship with others. This type of work can be done alone or with a therapist."
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,"It's hard to answer this without knowing more specifically the anxiety and depression symptoms you are experiencing - but typically treatment for anxiety and depression is multi-faceted. Going to therapy, working with your primary care doctor to check for and treat any physical factors, learning healthy coping strategies for your anxiety and depression, increasing your social support, moving your body in ways that feel good, spending time doing something that's meaningful to you - all of these can be helpful for treating anxiety and depression!"
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,"Sending your some positive calming vibes  first get a check up with your provider to see if there are any under lining medical issues ....hormone tests, blood tests, cat scans etc.... then when you are ready and referred start talk therapy. If you want to bypass that then do talk therapy or chat. I have services online that you can signup and it is private but it does cost to do so."
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,"Consistent, quality, and effective mental health treatment can help you manage anxiety and depression. Anxiety and Depression are the two biggest reasons people enter therapy, so you are not alone. The goal of therapy is to give you the tools to be able to manage anxiety and depression better so that it does not impact your daily functioning. Sometimes we work really hard to avoid our anxiety and depression that it makes it worse. Therapy helps us confront the negative thoughts and replace them with something more realistic."
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,Have you used meditation or hypnosis? Relaxing the mind and connecting with your true self is a great way to calm your thoughts and get to peace and calm. Hypnosis and meditation have helped a lot of people with anxiety and depression. Google hypnotherapists near me or write for a while about what is going on.
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,"Anxiety and depression is caused by ineffective functioning of the adrenals, kidneys, and the other systems that affects.A basic protocol of natural health makes quick work of it about 2-3 months-ish maybe shorter with a good constitution, in your body"
Im facing severe depression and anxiety and I just feel like Im going through a lot. This really distracts me and I cant get my mind off the things that are bothering me. How do I overcome this anxierty and depression?,Life can bring us all kinds of struggles. Depression and Anxiety are very common reasons people come into counseling. Both can be debilitating. Sometimes when life struggles and stresses build up anxiety and depression become prominent. Learning tools to ride the waves of life is a core part of counseling. If you are ready to manage the symptoms and come up with a plan visit staceybshapiro.com for more information.
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,"I am so very sorry for how pressured and sad you feel right now.Definitely all family members have an effect on the other ones.From what you write, your family members are not considering the effect their negative comments have on you.Also, keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem. You are not in control of the other people in your family.More likely they take the easy way out and blame you for what they don't want to know about themselves.Stay aware that the family's decision to target you doesn't mean that you are doing something wrong. Certainly your existence is not wrong, which is the degree to which the unfairness seems to have spread.What to do about it is read about family systems to see more explanations on how you are being unfairly treated.Also stay in touch with friends bc these are the people who value and respect you."
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,"I'm so sorry you're going through this! I think there is almost always someone in the family who becomes the scapegoat and ends up feeling this way sadly. Please know that you are NOT the problem! It sounds like you need to be heard and understood but maybe your family has their own stuff going on and don't know how to handle it so they end up taking it out on you, or maybe they just don't know how to listen and validate because they never learned. Bottom line is there are many reasons they might be treating you this way that have nothing to do with you or your worth. It's your parents' responsibility to love and care for you. You are loveable and worthy regardless. I hope you find a therapist that helps you work through this. You deserve to be happy and loved."
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,"I am so sorry to hear that you are experiencing this. It can be really hard to deal with our family dynamics, especially when you feel this way and are being told these things. I would encourage you to keep in touch with people who support you, whether that is friends, a group or club you are involved in or even extended family if that is an option. I would also encourage you to seek out support in a professional sense, whether an individual therapist or even in a group therapy setting.The things you are saying to yourself is negative self-talk and it is being fueled by the things others are saying to you. It can be really difficult sometimes to see the positive in ourselves, and it can definitely take some digging and searching to find it. But you have it within you somewhere and it is waiting to be let out. I hope you find therapeutic help that works for you and helps you to see how incredible you are."
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed?","Hi, Depression can look different for everybody. It sounds to me like what your family is trying to tell you that they are worried about you, and think this behavior might be a result of depression. If what you are experiencing seems fine and normal to you, it may be nothing to worry about. It is very common to have thoughts of doubt about yourself and your abilities, and it may help to open up about those thoughts to people you trust. Developing relationships with friends and families can be a very rewarding experience, but it can take a brave person to reach out!"
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed?","If we were in my office together, I would offer that most likely you are feeling somewhat depressed. It's most important for me to impress that you ""don't have to live like this..."" Other helpful information Have you experienced similar symptoms before? Anyone in your family been depressed before? Based on other physiological signs, like quality of sleep, appetite, energymotivation, I would present you with some treatment options, one of which would be to consult with a medication management provider to assess your symptoms and provide additional information for you to consider."
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed?","I would not focus on what other people say. Do you feel what you have described impacts your day to day functioning? Try to evaluate how is your self esteem, motivation and self confidence. How about negative thoughts or hopelessness? Any concerns about your grades sliding down? If you answered yes to any questions, may be its time to see a counsellor."
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed?","Although some people managing depression feel sad or ""down"", it is a possible to have depression without an obvious sad mood. Many people indicate that they feel numb or flat. People managing depression often have low motivation. They may stay in bed for long periods of time and only get up for absolutely necessary activities. People with depression may also feel inappropriate guilt or shame. If you have been experiencing the symptoms you described for more than two weeks, I recommend that you see a counselor to get a more in-depth evaluation. The symptoms you are experiencing are typical of depression, and with a bit of support, you could regain energy and improved self-esteem. The stigma surrounding mental health can make a diagnosis or a label of depression seem scary. The important thing to remember is that mental health disorders are as important as and as treatable physical health disorders. Hang in there. Healing is possible!"
I'm very depressed. How do I find someone to talk to?,"Silly you took the first step to ""claim it"" you are by posting on here. All of us are here to help."
I'm very depressed. How do I find someone to talk to?,"It is to your credit that you reached out for help on this platform. How to find someone to talk to would depend upon your lifestyle and worldview. Many people reach out to their faith community and others to friends, family, or seek help from a psychotherapist. If you live in a large, metropolitan area you will have an abundance of options. However, if you live in a more rural area, options might be limited. Broadly speaking, if you have health insurance, you can make an inquiry about providers who deliver psychotherapy in your local area. You might also try exploring profiles on Psychology Today to get a sense of therapists in your area available for a phone consultation. I wish you all the best in your search."
I'm very depressed. How do I find someone to talk to?,"You have already taken the brave first step of making the decision to heal from it and find a professional that will help you do so. There are lots of different options nowadays for therapists, as you can see them online or in an office. My biggest tip for you is to use Psychology Today or Counsel Chat to find a therapist. Enter in your zip code and you will find many different therapists you can talk to . Be sure to find someone that you most resonate with and ask them any questions you may have. Many times, therapists will provide free consultations and this can be a great opportunity to see if you are a good fit."
I'm very depressed. How do I find someone to talk to?,"Hi,Reaching out here is a great start! I recommend looking for somebody in your area that works with people experiencing depression. After you've chosen somebody to try, feel free to call them for a consultation! A lot of counselors and therapists offer free consultations, and remember that your counselor is working for you, so make sure they are a good fit! I hope this has been of some help."
I'm very depressed. How do I find someone to talk to?,"Great that you realize talking with a professional counselor about how you feel, would be helpful!If you'd like a very fast response by phone, then google ""depression hotline"" for where you live. And, if you have a specific topic which upsets you then google around with this topic to see if there are services specific to your interest.If you've got time to invest in looking for the best fit therapist for yourself, then google ""therapy' or ""therapist"".There will be many, many names which come up.I know I sound like I work for google only it is the easiest way to find lots of information.I send you good luck!"
I'm very depressed. How do I find someone to talk to?,Sorry to hear you are feeling that way. Is there a 24-hour helpline where you are that you can call? Here is a website with some numbers to call  You could talk to your family doctor and they could help you find a therapist? You could also use this website to find a therapist.  I sincerely hope you find someone to talk to.
I'm very depressed. How do I find someone to talk to?,"If there is no one in your life with whom you feel comfortable, I would recommend identifying someone on this site, psychology today or goodtherapy.org who is in your area, then give that therapist a call to see if you would be a good match."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","Telehealth has become very popular during the pandemic. One of the benefits of telehealth, is that you can see a therapist who may not be in your area at all although depending on where you reside, they likely just need to be licensed in the state where you reside. Telehealth offers access to a much larger pool of mental health providers. Some therapists offer sliding scale fees a reduced fee for those who are unable to pay full rate."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","If it is simply counseling that you seek, any number of faith-based outfits are very willing to listen and help out with these sorts of matters, free of charge Online messaging and social media is a secondary option, however this one may come with privacy concerns and consequencesIf it were I, I would attempt to sweet-talk one or two counselors I come across to do a bit of work for folks who can't afford it"
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","Look up online what the local hospital offers to people. Also, google some of the key words you just wrote here, like depression and counseling, low-cost counseling.Did your primary physician tell you their reason to not help you? If not, then ask the person to tell you their reasoning. Even if the specific doctor won't help you, by understanding their reason, you may be able to work with the answer you hear."
"I suffer from adult ADHD, anxiety disorder, and depression. It has been difficult to find a doctor in my area and my primary physician won't help. I am unemployed and overwhelmed. What would you suggest I do?","I would check out agencies that offer affordable counseling based on your income or very low cost counseling sessions, i.e., Pacific Clinics, Hathaway Sycamore, Pasadena Mental Health Center, Burbank Family Center. If you google affordable or low cost therapy in your particular area you will find resources to help you."
I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow.,"Understandably the idea of someone who tries to control you, is good reason to feel sad.Your feelings sound like they are very strong and meaningful in your life.Keep in mind that your feelings about others has more to do with one's own self-view than with what the other person is actually doing.Unless the people in your family are actually interrupting and impeding your life in practical ways or by intimidation or other verbal ways to inhibit you, then there is a great chance your feelings of being controlled by other family members has more to do with your fears to be who you are than with any family members' actions."
